Commodities,Countries,Time,Customs Value (Gen) ($US) (Default Member),Customs Value (Cons) ($US),CategoryType
"8111 Manganese And Artcles Thereof, Inc Waste And Scrap",Malaysia,2009,111233,111233.0,Other
2846 Rare-earth Metal Compounds Of Yttrium Or Scandium,Malaysia,2007,6457,6457.0,Compound
"8112 Beryllium,chromium,hafnium,rhenium Etc & Articles",Singapore,2006,1247919,1247919.0,Refined/Articles
"7110 Platinum, Unwrought, Semimfr Forms Or In Powder Fm",Singapore,2008,361200,361200.0,Other
"8108 Titanium & Articles Thereof, Includ Waste & Scrap",Singapore,2005,1119318,1119318.0,Refined/Articles
7225 Fl-rl Alloy Steel Nesoi Nun 600mm Wide,Indonesia,2002,515078,515078.0,Other
"8108 Titanium & Articles Thereof, Includ Waste & Scrap",Thailand,2008,204091,204091.0,Refined/Articles
"7110 Platinum, Unwrought, Semimfr Forms Or In Powder Fm",Thailand,2010,21832,21832.0,Other
3801 Artificial Graphite; Collodial Graphite & Prep Etc,Indonesia,2008,37940,37940.0,Other
"3910 Silicones, In Primary Forms",Malaysia,2006,4913,4913.0,Other
"8108 Titanium & Articles Thereof, Includ Waste & Scrap",Singapore,2010,1093167,1093167.0,Refined/Articles
3801 Artificial Graphite; Collodial Graphite & Prep Etc,Indonesia,2004,39914,39914.0,Other
"8108 Titanium & Articles Thereof, Includ Waste & Scrap",Singapore,2006,3247772,3247772.0,Refined/Articles
"3910 Silicones, In Primary Forms",Thailand,2007,27205058,27205058.0,Other
"8112 Beryllium,chromium,hafnium,rhenium Etc & Articles",Malaysia,2007,87560,87560.0,Refined/Articles
"7110 Platinum, Unwrought, Semimfr Forms Or In Powder Fm",Singapore,2003,49212,49212.0,Other
2820 Manganese Oxides,Singapore,2008,206150,206150.0,Compound
7225 Fl-rl Alloy Steel Nesoi Nun 600mm Wide,Malaysia,2004,7546,7546.0,Other
8110 Antimony And Artcls Throf Incl Waste And Scrap,Vietnam,2001,26128,,Other
"8108 Titanium & Articles Thereof, Includ Waste & Scrap",Philippines,2006,10979,10979.0,Refined/Articles
2604 Nickel Ores And Concentrates,Indonesia,2002,3200,3200.0,Ore/Raw
"8112 Beryllium,chromium,hafnium,rhenium Etc & Articles",Indonesia,2006,2568,2568.0,Refined/Articles
2614 Titanium Ores And Concentrates,Malaysia,2006,4301600,4301600.0,Ore/Raw
"3910 Silicones, In Primary Forms",Philippines,2009,2340,2340.0,Other
"8112 Beryllium,chromium,hafnium,rhenium Etc & Articles",Malaysia,2006,6900,6900.0,Refined/Articles
"8112 Beryllium,chromium,hafnium,rhenium Etc & Articles",Singapore,2007,261112,261112.0,Refined/Articles
7225 Fl-rl Alloy Steel Nesoi Nun 600mm Wide,Indonesia,2004,14616,14616.0,Other
"7110 Platinum, Unwrought, Semimfr Forms Or In Powder Fm",Singapore,2006,1726555,1726555.0,Other
"3910 Silicones, In Primary Forms",Vietnam,2008,4322,4322.0,Other
2614 Titanium Ores And Concentrates,Malaysia,2009,2920983,2920983.0,Ore/Raw
"8105 Cobalt Mattes Etc, Cobalt & Art, Inc Waste & Scrap",Thailand,2003,2269,2269.0,Other
7225 Fl-rl Alloy Steel Nesoi Nun 600mm Wide,Thailand,2007,6108826,6108826.0,Other
"3910 Silicones, In Primary Forms",Philippines,2010,171976,171976.0,Other
8110 Antimony And Artcls Throf Incl Waste And Scrap,Vietnam,2003,88257,88257.0,Other
"8112 Beryllium,chromium,hafnium,rhenium Etc & Articles",Laos,2010,46014,46014.0,Refined/Articles
3801 Artificial Graphite; Collodial Graphite & Prep Etc,Singapore,2001,2500,,Other
"7110 Platinum, Unwrought, Semimfr Forms Or In Powder Fm",Thailand,2007,19501,19501.0,Other
2820 Manganese Oxides,Indonesia,2006,74516,74516.0,Compound
"8105 Cobalt Mattes Etc, Cobalt & Art, Inc Waste & Scrap",Singapore,2005,92112,92112.0,Other
"8112 Beryllium,chromium,hafnium,rhenium Etc & Articles",Thailand,2010,203902,203902.0,Refined/Articles
"8108 Titanium & Articles Thereof, Includ Waste & Scrap",Thailand,2001,23408,,Refined/Articles
"3910 Silicones, In Primary Forms",Singapore,2007,9195,9195.0,Other
"7110 Platinum, Unwrought, Semimfr Forms Or In Powder Fm",Singapore,2005,5124190,5124190.0,Other
7225 Fl-rl Alloy Steel Nesoi Nun 600mm Wide,Malaysia,2007,137526,137526.0,Other
"2801 Fluorine, Chlorine, Bromine & Iodine",Singapore,2008,4000,4000.0,Other
"8112 Beryllium,chromium,hafnium,rhenium Etc & Articles",Singapore,2004,144786,144786.0,Refined/Articles
"3910 Silicones, In Primary Forms",Indonesia,2005,660,660.0,Other
2614 Titanium Ores And Concentrates,Vietnam,2002,1181212,1181212.0,Ore/Raw
"8105 Cobalt Mattes Etc, Cobalt & Art, Inc Waste & Scrap",Philippines,2008,4843,4843.0,Other
2603 Copper Ores And Concentrates,Indonesia,2002,5723332,5723332.0,Ore/Raw
3801 Artificial Graphite; Collodial Graphite & Prep Etc,Indonesia,2006,16499,16499.0,Other
