Commodities,Countries,Country Subcode,Rate Provision,District,Time,Customs Value (Gen) ($US) (Default Member),Customs Value (Cons) ($US),Quantity 1 (Gen),Quantity 1 (Cons),Quantity 2 (Gen),Quantity 2 (Cons)
"76 Aluminum And Articles Thereof","Taiwan","All Country Subcodes","All Rate Provisions","All Districts","2001","69969203","","","","",""
"76 Aluminum And Articles Thereof","Philippines","All Country Subcodes","All Rate Provisions","All Districts","2006","2351330","2351330","","","",""
"74 Copper And Articles Thereof","Hong Kong","All Country Subcodes","All Rate Provisions","All Districts","2003","3054224","3230526","","","",""
"76 Aluminum And Articles Thereof","Taiwan","All Country Subcodes","All Rate Provisions","All Districts","2008","116234083","115712699","","","",""
"74 Copper And Articles Thereof","Thailand","All Country Subcodes","All Rate Provisions","All Districts","2007","63481921","63476762","","","",""
"74 Copper And Articles Thereof","Korea, South","All Country Subcodes","All Rate Provisions","All Districts","2006","126211433","126061694","","","",""
"80 Tin And Articles Thereof","Philippines","All Country Subcodes","All Rate Provisions","All Districts","2009","135647","135647","","","",""
"80 Tin And Articles Thereof","Taiwan","All Country Subcodes","All Rate Provisions","All Districts","2004","5056014","5056014","","","",""
"74 Copper And Articles Thereof","Malaysia","All Country Subcodes","All Rate Provisions","All Districts","2003","19815427","19815427","","","",""
"76 Aluminum And Articles Thereof","Thailand","All Country Subcodes","All Rate Provisions","All Districts","2002","113915666","113900545","","","",""
"74 Copper And Articles Thereof","Indonesia","All Country Subcodes","All Rate Provisions","All Districts","2007","10982897","10982897","","","",""
"74 Copper And Articles Thereof","Cambodia","All Country Subcodes","All Rate Provisions","All Districts","2007","2750","2750","","","",""
"74 Copper And Articles Thereof","Japan","All Country Subcodes","All Rate Provisions","All Districts","2002","135139047","134595116","","","",""
"74 Copper And Articles Thereof","Taiwan","All Country Subcodes","All Rate Provisions","All Districts","2002","152788649","152649373","","","",""
"76 Aluminum And Articles Thereof","Macau","All Country Subcodes","All Rate Provisions","All Districts","2009","106746","106746","","","",""
"80 Tin And Articles Thereof","Korea, South","All Country Subcodes","All Rate Provisions","All Districts","2001","383883","","","","",""
"80 Tin And Articles Thereof","Korea, South","All Country Subcodes","All Rate Provisions","All Districts","2002","132115","132115","","","",""
"74 Copper And Articles Thereof","Singapore","All Country Subcodes","All Rate Provisions","All Districts","2003","2326457","2181892","","","",""
"74 Copper And Articles Thereof","Taiwan","All Country Subcodes","All Rate Provisions","All Districts","2010","131808904","131810157","","","",""
"80 Tin And Articles Thereof","Philippines","All Country Subcodes","All Rate Provisions","All Districts","2006","623634","623634","","","",""
"80 Tin And Articles Thereof","Singapore","All Country Subcodes","All Rate Provisions","All Districts","2002","195021","195021","","","",""
"75 Nickel And Articles Thereof","Philippines","All Country Subcodes","All Rate Provisions","All Districts","2008","3806","3806","","","",""
"74 Copper And Articles Thereof","Thailand","All Country Subcodes","All Rate Provisions","All Districts","2003","34226971","34226971","","","",""
"80 Tin And Articles Thereof","Philippines","All Country Subcodes","All Rate Provisions","All Districts","2005","1537629","1537629","","","",""
"80 Tin And Articles Thereof","Macau","All Country Subcodes","All Rate Provisions","All Districts","2007","11168","11168","","","",""
"74 Copper And Articles Thereof","Taiwan","All Country Subcodes","All Rate Provisions","All Districts","2003","152960877","153261331","","","",""
