Commodities,Countries,Time,Customs Value (Gen) ($US) (Default Member),Customs Value (Cons) ($US),HS_Code,CategoryType
2614 Titanium Ores And Concentrates,Asia - South,2012,436700,436700.0,2614,Ore/Raw
2614 Titanium Ores And Concentrates,Asia - South,2016,87558,87558.0,2614,Ore/Raw
2614 Titanium Ores And Concentrates,Asia - South,2015,216157,216157.0,2614,Ore/Raw
2614 Titanium Ores And Concentrates,APEC - Asia Pacific Economic Co-operation,2008,205179020,205179020.0,2614,Ore/Raw
2614 Titanium Ores And Concentrates,APEC - Asia Pacific Economic Co-operation,2001,93084607,,2614,Ore/Raw
2614 Titanium Ores And Concentrates,APEC - Asia Pacific Economic Co-operation,2005,110754185,110754185.0,2614,Ore/Raw
2614 Titanium Ores And Concentrates,ASEAN - Association of Southeast Asian Nations,2014,4025099,4025099.0,2614,Ore/Raw
2614 Titanium Ores And Concentrates,ASEAN - Association of Southeast Asian Nations,2015,2815171,2815171.0,2614,Ore/Raw
2614 Titanium Ores And Concentrates,ASEAN - Association of Southeast Asian Nations,2019,82922,82922.0,2614,Ore/Raw
2614 Titanium Ores And Concentrates,Asia - South,2002,803000,803000.0,2614,Ore/Raw
2614 Titanium Ores And Concentrates,Asia - South,2009,10982,10982.0,2614,Ore/Raw
2614 Titanium Ores And Concentrates,ASEAN - Association of Southeast Asian Nations,2011,6831832,6831832.0,2614,Ore/Raw
2614 Titanium Ores And Concentrates,Asia - South,2003,3840,3840.0,2614,Ore/Raw
